GENEID	R3452	R3462	R3485	R2869	R3098	R3467
KRI1	3306	2728	1577	1145	348	776
CDKN2D	5242	5489	10308	4079	1241	3698
AP1M2	0	1	1	16	0	15
SLC44A2	9392	11442	7386	7514	4781	3527
LOC147727	1443	1431	1346	893	325	795
ILF3	67812	70823	54544	10224	2716	9222
QTRT1	5937	5081	5275	2471	1031	1872
DNM2	5348	6545	4748	4943	1340	2966
MIR638	0	0	0	0	0	0
MIR4748	0	1	0	0	0	0
MIR199A1	0	3	3	0	0	2
TMED1	798	804	802	616	337	410
C19orf38	20	30	19	29	10	10
CARM1	7190	8098	7250	3572	744	3124
YIPF2	2031	1738	1667	1421	435	1121
C19orf52	1019	1058	886	564	173	480
SMARCA4	37543	36800	30408	8139	1494	8081
LDLR	3473	4610	4278	1562	295	1184
SPC24	392	308	44	13	0	25
KANK2	1078	1895	2012	924	1762	940
DOCK6	536	991	905	872	689	585
C19orf80	2	8	4	9	4	8
TSPAN16	4	8	11	9	4	5
RAB3D	2821	3108	2657	1537	522	1657
TMEM205	1586	1657	1752	3601	1182	2866
CCDC159	249	473	266	858	298	475
LPPR2	12498	12803	19925	6703	1747	6702
SWSAP1	72	90	106	58	29	62
EPOR	286	291	316	439	301	253
RGL3	22	23	10	325	355	156
CCDC151	119	169	148	249	123	151
PRKCSH	15818	18247	13192	8915	2206	5492
ELAVL3	50100	53734	52487	11952	1845	11120
ZNF653	1109	1130	1072	835	162	744
ECSIT	2942	3419	3116	2748	675	2010
CNN1	6	10	18	197	541	269
ELOF1	2218	2636	2154	1596	719	1215
ACP5	2	16	11	9	16	6
ZNF627	3876	6229	5469	591	174	519
ZNF833P	175	239	165	145	8	127
ZNF823	326	657	513	115	38	117
ZNF441	2060	2107	2949	905	171	1279
ZNF491	1067	1325	833	134	37	139
ZNF440	1427	2246	2215	371	70	555
ZNF439	1958	3024	2580	513	80	451
ZNF69	787	1494	806	52	15	53
ZNF700	1831	2104	2091	453	128	440
ZNF763	385	590	421	253	59	125
ZNF433	841	1069	1047	184	95	213
ZNF878	76	76	38	17	4	6
ZNF844	1076	2046	1224	248	101	316
ZNF788	457	781	390	97	82	59
ZNF20	0	4	3	0	0	0
ZNF625-ZNF20	75	112	77	21	12	12
ZNF625	536	580	515	108	1	56
ZNF136	1747	1927	1919	585	102	481
ZNF44	769	1054	979	262	56	259
ZNF563	81	109	111	126	12	95
ZNF442	157	229	179	46	26	38
ZNF799	334	432	541	184	41	127
ZNF443	764	1019	822	187	77	162
ZNF709	2316	2871	3138	334	114	315
ZNF564	1086	1148	1286	469	124	333
ZNF490	3606	4422	3795	584	115	662
ZNF791	2318	2831	2901	550	116	932
MAN2B1	2560	2688	1936	1025	258	551
WDR83	1599	1823	1444	801	196	568
WDR83OS	1613	2025	1737	784	503	638
DHPS	8420	8149	6555	3130	552	2529
FBXW9	758	805	913	424	98	436
TNPO2	27467	26455	28427	12330	3812	13165
SNORD41	4	5	1	1	0	3
C19orf43	10295	9539	7649	3478	1325	3028
ASNA1	4704	4818	5523	3943	897	3456
BEST2	16	18	21	2	0	4
HOOK2	2859	2691	2756	1457	290	1257
JUNB	1165	670	1011	1484	2331	1922
PRDX2	14936	17499	14714	14369	4608	11162
RNASEH2A	1610	1766	1065	256	87	163
RTBDN	60	60	215	408	66	366
MAST1	27001	27139	26702	8728	797	8197
DNASE2	472	592	296	812	546	491
KLF1	20	14	6	12	9	4
GCDH	1343	1651	900	1291	734	647
SYCE2	213	267	165	99	51	58
FARSA	5306	5903	5720	5997	870	5459
CALR	21951	29377	24049	10680	4657	7857
RAD23A	5535	5844	5566	7387	1825	5847
GADD45GIP1	1256	1578	1838	1479	692	1251
DAND5	11	27	6	6	23	10
NFIX	119874	73074	90839	18827	4281	15979
LYL1	118	96	102	101	52	64
TRMT1	3753	3825	3322	2271	630	1614
NACC1	4672	4999	5009	6158	1800	5846
STX10	2100	2625	1905	1023	457	776
IER2	2322	1977	2354	1293	860	1383
CACNA1A	4156	12964	13488	5793	1078	9982
CCDC130	3538	3383	2168	1440	448	1103
MRI1	3314	3982	3035	1458	399	1214
C19orf53	1907	2177	1707	2343	960	1672
ZSWIM4	3335	3978	3205	515	134	570
LOC284454	66	95	52	46	112	56
MIR24-2	0	0	1	0	2	0
MIR27A	0	0	0	0	0	0
MIR23A	0	0	0	0	0	0
MIR181C	22	22	20	3	0	2
MIR181D	30	48	51	5	1	5
NANOS3	433	474	471	217	172	190
C19orf57	1545	1895	1707	178	55	139
CC2D1A	5532	5938	6861	3821	908	2976
PODNL1	109	156	117	56	16	33
DCAF15	3103	3320	2526	947	264	640
RFX1	2625	2372	1920	759	228	551
RLN3	0	0	0	0	0	0
IL27RA	585	543	1164	219	75	293
PALM3	1126	1160	1814	218	36	117
LOC113230	76	153	322	892	298	410
SAMD1	3753	3246	3443	1546	560	1059
PRKACA	6119	7007	9052	9250	1511	7600
ASF1B	503	458	62	9	2	6
LOC100507373	998	1098	562	180	83	167
LPHN1	29782	27396	34470	16258	3388	17476
CD97	119	105	129	589	293	383
DDX39A	4083	4235	3483	997	390	655
PKN1	11591	14112	14305	4494	2079	2537
PTGER1	5	0	2	12	8	15
GIPC1	2534	2986	2496	4651	1589	3314
DNAJB1	4850	10639	7082	4601	1934	3358
MIR639	0	1	0	0	0	0
TECR	2792	2823	2566	6659	2211	3480
NDUFB7	1927	2100	1993	1831	1148	1336
CLEC17A	6	0	2	7	9	2
EMR3	0	0	0	6	0	1
ZNF333	4961	5330	4490	1184	256	783
EMR2	37	12	19	102	26	83
OR7C1	0	0	2	6	0	0
OR7A5	0	0	2	18	22	12
OR7A10	0	0	0	0	0	0
OR7A17	0	0	0	0	0	0
OR7C2	0	0	0	0	0	0
SLC1A6	1867	2207	4912	704	91	923
CCDC105	0	0	0	2	0	2
CASP14	0	1	0	0	0	0
OR1I1	0	0	0	0	0	0
SYDE1	466	641	268	391	455	195
ILVBL	2092	3138	2798	2116	820	1254
NOTCH3	4991	6606	2944	2832	4807	2348
EPHX3	23	47	36	10	11	12
BRD4	10286	11445	8716	3628	939	4353
AKAP8	3804	3926	3177	1396	322	1531
AKAP8L	8961	11273	8531	3935	1002	2716
WIZ	9679	10223	10738	3543	1475	2837
MIR1470	4	3	3	0	1	0
RASAL3	45	61	24	70	37	70
PGLYRP2	0	0	0	0	0	0
CYP4F22	0	0	0	0	0	0
CYP4F8	0	0	0	0	0	0
CYP4F3	4	0	0	79	8	20
CYP4F12	0	18	0	29	6	10
OR10H2	0	0	0	0	0	0
OR10H3	0	0	0	0	0	0
CYP4F24P	287	99	42	39	61	4
OR10H5	0	4	0	4	0	2
OR10H1	0	0	0	1	0	0
UCA1	0	2	0	0	0	0
CYP4F2	35	7	4	10	2	2
CYP4F11	2	0	0	276	185	51
OR10H4	0	0	0	0	0	0
LOC126536	0	0	0	0	0	0
FLJ25328	0	0	0	0	0	0
TPM4	16247	21586	17957	7136	3396	6629
RAB8A	3403	4168	3189	1090	521	979
HSH2D	9	15	5	4	48	16
CIB3	0	0	0	2	0	0
FAM32A	7289	8429	10289	3362	1081	2503
AP1M1	7195	7186	7352	4140	772	3429
KLF2	631	589	545	511	309	663
EPS15L1	4634	4926	5054	2672	477	2237
CALR3	2	2	2	0	2	0
C19orf44	832	1275	1068	217	90	241
CHERP	9316	9357	7993	2938	666	2761
SLC35E1	6973	7476	8512	3448	713	4023
MED26	1359	1302	1252	457	105	244
C19orf42	3100	3921	3570	1935	946	1737
TMEM38A	430	368	480	1753	188	2521
NWD1	50	29	35	1530	1663	613
SIN3B	11789	12706	12516	7688	1274	7204
F2RL3	8	22	39	0	22	3
CPAMD8	1250	1130	770	60	76	78
HAUS8	429	503	210	108	42	51
MYO9B	12228	16421	10150	4465	955	3147
USE1	1179	1552	1398	1186	473	842
OCEL1	196	216	350	699	133	437
NR2F6	809	1046	1074	1400	492	1056
USHBP1	112	187	169	218	61	230
BABAM1	4493	5318	5155	4631	991	4068
ANKLE1	529	625	385	80	47	75
ABHD8	2481	2162	2775	5341	1500	4578
MRPL34	589	641	762	1026	441	889
DDA1	4069	4349	4379	3357	1026	2938
ANO8	16508	16865	13875	2933	880	2264
GTPBP3	1903	2018	2320	843	160	587
PLVAP	84	99	72	70	2	8
BST2	85	76	70	446	1217	468
FAM125A	1176	1251	1117	519	274	301
TMEM221	148	160	66	260	140	244
NXNL1	0	10	3	22	7	4
SLC27A1	5096	4530	3392	3756	1716	1615
PGLS	2431	2602	2105	611	307	424
FAM129C	193	121	167	26	12	25
GLT25D1	4963	5487	4680	1395	414	1289
UNC13A	11539	22453	41313	19919	1588	40045
MAP1S	5573	5002	4365	6084	685	5450
FCHO1	4674	4920	4473	2736	289	2121
B3GNT3	4	4	2	0	0	0
INSL3	0	2	0	13	2	2
JAK3	107	119	123	558	178	620
RPL18A	44984	41978	33913	4597	4031	3815
SNORA68	11	13	11	1	1	0
SLC5A5	26	66	93	30	25	13
CCDC124	4035	4318	4398	4534	1382	3165
KCNN1	2054	1552	2271	4568	1017	4074
ARRDC2	99	129	204	1603	593	973
IL12RB1	10	8	6	81	22	66
MAST3	2699	3028	3698	19357	3411	24182
PIK3R2	19680	22355	27321	6972	1363	7083
IFI30	73	90	38	83	81	63
MPV17L2	381	475	554	407	142	363
RAB3A	14618	13549	20299	26628	1385	23607
PDE4C	129	173	334	639	433	1224
LOC729966	3	6	9	0	0	6
KIAA1683	615	327	528	68	41	48
JUND	3774	3082	2861	5832	1843	5119
MIR3188	0	0	0	1	0	2
LSM4	3109	3011	2858	2992	1188	2527
PGPEP1	2625	5940	4862	1789	1286	1296
GDF15	10	13	20	2	28	3
MIR3189	0	0	0	0	0	0
LRRC25	10	24	22	17	2	8
SSBP4	4683	3448	4381	3939	1224	3537
ISYNA1	10726	7776	12190	1248	1605	921
ELL	1729	1562	1443	814	293	814
FKBP8	14288	15270	18072	36618	8974	26526
KXD1	2968	3192	2230	2733	1110	2007
UBA52	27692	29004	24072	8252	4763	7687
C19orf60	2107	1561	1468	1972	667	1445
CRLF1	68	70	84	1598	1151	1167
TMEM59L	9198	7463	11873	23871	3248	20864
KLHL26	1850	1740	1877	2014	614	1825
CRTC1	9693	9471	11418	9002	1886	8041
COMP	0	2	0	0	0	0
UPF1	9140	9457	8032	5043	1566	4420
GDF1	0	0	0	0	0	0
CERS1	812	986	797	1454	1150	884
COPE	4660	4542	5118	3897	1995	2708
DDX49	3985	4423	4764	1848	517	1345
HOMER3	1735	2545	1658	1183	556	581
SUGP2	26989	33338	31495	10716	1907	12275
ARMC6	4204	4330	5085	1747	367	1366
SLC25A42	2197	1987	1975	1654	466	1576
TMEM161A	1250	1082	828	966	297	540
MEF2B	5	5	3	1	0	0
MEF2BNB-MEF2B	0	0	0	0	0	0
MEF2BNB	628	784	791	947	246	702
RFXANK	852	1080	515	787	460	355
NR2C2AP	1176	1159	1379	244	75	174
NCAN	62789	86534	66584	16579	8557	9156
HAPLN4	920	754	617	8819	956	8903
TM6SF2	62	151	42	33	15	30
SUGP1	3184	3393	3070	2254	569	1746
MAU2	9172	10532	8738	3242	657	2657
GATAD2A	6237	5027	3544	1951	969	1612
TSSK6	168	160	133	53	18	33
NDUFA13	5567	6605	6895	7713	3783	6270
YJEFN3	1614	1350	1244	2185	541	2504
CILP2	60	39	86	45	6	38
PBX4	769	718	742	70	39	60
LPAR2	7399	11012	7094	160	35	96
GMIP	6471	6655	5965	375	70	335
ATP13A1	6033	5967	4958	3709	660	2605
ZNF101	601	672	552	219	48	183
ZNF14	1615	2289	2164	401	92	497
LOC284440	339	320	468	319	158	283
ZNF506	4246	5454	5874	916	241	1046
ZNF253	4342	5356	4510	348	79	490
ZNF93	1269	1620	1000	85	36	59
ZNF682	2530	2453	2901	489	111	510
ZNF90	267	315	177	12	1	11
ZNF486	1897	2105	1835	141	51	193
MIR1270-1	0	0	0	0	0	0
MIR1270-2	0	0	0	0	0	0
ZNF826P	46	117	75	18	8	8
ZNF737	4704	7697	6149	822	203	1208
ZNF626	1955	3360	3804	766	155	859
ZNF85	914	1137	876	111	84	125
ZNF430	2325	2522	2737	495	104	416
ZNF714	6972	9032	5790	746	184	999
ZNF431	2570	3698	2909	191	81	232
ZNF708	3781	5422	7141	962	176	1137
ZNF738	6355	9293	11456	687	148	604
ZNF493	4136	5451	6860	966	277	1246
LOC400680	150	182	26	18	4	28
ZNF429	1143	1531	2148	447	64	739
ZNF100	1632	2327	1815	499	190	345
LOC641367	36	72	56	2	1	3
ZNF43	2601	3970	3162	618	218	587
ZNF208	12	417	288	96	46	436
ZNF257	195	186	376	10	35	76
ZNF676	6	6	11	8	14	29
ZNF729	2	22	6	1	0	10
ZNF98	33	69	26	44	34	57
LOC440518	0	0	0	0	55	2
ZNF492	151	292	129	9	4	11
ZNF99	22	90	78	17	6	12
ZNF724P	116	156	99	2	2	9
ZNF91	8242	11965	12574	862	271	1774
ZNF675	2523	2776	3539	557	85	773
ZNF681	2059	3267	2473	334	92	403
RPSAP58	4753	3834	1362	583	1050	819
ZNF726	238	245	140	9	5	26
ZNF254	3861	5262	4345	1039	304	873
LOC100101266	85	145	104	10	22	25
LOC148189	789	1104	1021	174	60	225
LOC148145	4	30	24	6	16	6
LOC100505835	0	2	0	44	24	12
UQCRFS1	2713	3263	4401	5513	1145	4217
LOC284395	113	657	1139	136	38	142
VSTM2B	796	2668	5739	2093	387	1708
POP4	1074	1271	1270	1396	279	1028
PLEKHF1	66	44	26	245	112	104
C19orf12	3744	5230	6202	3532	686	3506
CCNE1	99	131	123	249	46	222
URI1	3670	5334	4894	3147	1141	2797
ZNF536	610	1372	937	2342	131	1403
DKFZp566F0947	27	19	48	55	11	38
TSHZ3	21567	14679	11450	1289	288	1770
THEG5	2	0	4	2	0	0
ZNF507	4318	5659	5459	1358	438	1532
LOC400684	12	13	17	15	0	8
DPY19L3	9430	8418	6357	2618	1378	1428
PDCD5	3017	3742	4227	2334	594	1447
ANKRD27	3855	4069	4642	2115	564	1988
RGS9BP	32	20	36	39	4	37
NUDT19	672	744	775	439	99	366
TDRD12	6	9	5	0	18	4
SLC7A9	239	243	274	8	14	33
CEP89	2698	3151	2943	239	68	309
C19orf40	142	140	149	44	4	24
RHPN2	361	598	151	819	348	190
GPATCH1	1997	2261	1913	671	118	598
WDR88	130	144	140	76	10	101
LRP3	13463	10619	12439	9419	3543	7932
SLC7A10	207	40	27	883	652	197
CEBPA	116	68	70	465	141	406
LOC80054	72	22	24	207	102	151
CEBPG	5575	6519	7656	1995	766	2463
PEPD	2144	2224	2861	3974	1006	3052
CHST8	1233	224	1339	686	120	565
KCTD15	10576	12792	8827	2234	1532	1903
LSM14A	11381	13084	11248	4671	2046	3427
KIAA0355	5300	6667	5729	1652	456	1284
GPI	17033	17686	23520	33877	5097	30231
PDCD2L	839	869	1008	334	66	286
UBA2	10314	12164	11007	5144	1794	5003
WTIP	494	987	1320	402	425	432
SCGB1B2P	56	72	106	138	40	69
SCGB2B2	5	8	17	0	4	7
SCGB2B3P	4	5	6	0	0	1
ZNF302	7199	9344	10793	2596	858	2709
ZNF181	2505	3139	2944	897	297	864
ZNF599	939	1161	1251	110	69	93
LOC400685	57	203	110	0	2	0
LOC100652909	0	2	1	0	0	0
ZNF30	791	1161	1266	367	92	363
ZNF792	818	945	1040	60	14	68
GRAMD1A	9601	10521	10963	2747	679	2128
SCN1B	105	53	80	10414	1206	9152
HPN	6	4	1	301	53	148
LOC100128675	0	1	6	194	13	88
FXYD3	2	16	12	59	41	16
LGI4	1822	875	2210	4961	3000	2254
FXYD1	152	241	274	2592	4405	1268
FXYD7	2172	1380	2995	5147	1938	4156
FXYD5	151	134	166	190	229	145
FAM187B	0	0	0	0	0	4
LSR	357	477	461	473	225	410
USF2	14274	13178	12323	10731	4624	7420
HAMP	0	0	0	33	20	21
MAG	0	14	8	14496	647	5745
CD22	2	6	6	2524	140	1044
FFAR1	0	0	0	9	1	6
FFAR3	0	0	0	0	0	0
LOC100128682	0	0	0	0	0	0
FFAR2	2	0	2	5	2	6
KRTDAP	0	0	0	0	0	0
DMKN	2	10	7	179	114	209
SBSN	0	14	12	8	0	4
GAPDHS	322	329	289	136	30	129
LOC100506469	445	398	428	324	78	152
TMEM147	1628	1564	1590	1428	654	965
ATP4A	6	7	18	59	52	146
HAUS5	2954	3145	1920	828	228	517
RBM42	2696	2780	2696	2002	703	1185
ETV2	118	110	115	0	3	7
COX6B1	4772	5459	5172	5137	2422	3371
UPK1A	15	19	15	12	0	0
ZBTB32	19	68	65	21	4	21
MLL4	11105	11922	9204	2826	702	2718
IGFLR1	151	114	82	98	85	64
U2AF1L4	547	537	598	721	244	563
PSENEN	650	832	731	1009	467	584
LIN37	938	1245	1240	784	190	456
HSPB6	140	224	61	1354	780	854
C19orf55	757	903	775	290	38	358
ARHGAP33	29431	31509	32384	5235	1193	4222
PRODH2	3	8	6	0	0	0
NPHS1	34	50	62	145	6	74
KIRREL2	238	250	193	155	25	125
APLP1	31260	28456	38764	50053	4163	38614
NFKBID	190	170	185	95	53	115
HCST	20	16	23	24	41	11
TYROBP	58	111	49	203	34	89
LRFN3	1900	2014	2314	1139	244	1305
SDHAF1	556	573	634	641	159	509
C19orf46	43	49	24	56	10	33
ALKBH6	425	500	453	1413	225	1127
CLIP3	45998	44044	43889	47875	4525	42419
THAP8	486	495	552	383	138	283
WDR62	896	863	125	147	14	114
POLR2I	1212	1372	1667	1673	775	1286
TBCB	11317	11370	15958	6774	1857	4314
CAPNS1	7777	8895	9998	15664	3446	10494
COX7A1	177	110	127	990	716	1333
ZNF565	1440	1550	1384	301	72	245
ZNF146	9855	11907	11492	3506	921	2973
LOC100134317	47	51	61	76	26	37
LOC100506930	1826	1542	1552	581	183	627
ZFP14	5603	7633	7364	1225	274	1293
ZFP82	2110	2125	2551	343	72	368
LOC644189	18	20	27	41	6	42
ZNF566	3169	3900	4245	807	214	664
LOC728752	131	163	162	169	33	192
ZNF260	5256	8061	6618	1129	405	1176
ZNF529	6354	6348	7653	2678	495	2077
ZNF382	2844	3517	4076	665	81	799
ZNF461	1827	2164	2671	599	97	697
ZNF567	1110	1335	1448	441	76	428
ZNF850	753	1010	800	79	23	65
LOC284408	392	403	460	162	34	181
ZNF790	842	1090	1134	281	84	282
ZNF345	1028	1357	1232	230	97	172
ZNF829	1451	1637	1733	246	25	255
ZNF568	2439	3387	3042	603	237	648
ZNF420	1847	2510	2040	522	115	648
ZNF585A	1536	2004	1635	203	101	427
ZNF585B	3024	3142	3432	954	291	1392
ZNF383	748	948	925	252	62	279
LOC284412	86	76	63	121	35	74
HKR1	3164	3069	2660	2029	512	1603
ZNF527	1780	2280	2257	337	88	452
ZNF569	2106	2575	3161	648	180	710
ZNF570	1346	1793	1566	183	59	335
ZNF793	9423	11193	14009	921	250	1089
LOC100507433	2232	1781	2550	218	87	211
ZNF540	1964	2269	3001	1852	227	2106
ZNF571	540	700	722	135	24	136
ZFP30	4668	7008	7847	935	213	992
ZNF781	1488	1454	2080	411	182	380
ZNF607	2939	3240	3346	770	102	659
ZNF573	1172	1839	1586	113	40	170
LOC644554	544	632	743	30	33	61
LOC100631378	111	206	133	14	12	14
WDR87	21	177	156	8	2	10
SIPA1L3	4776	4791	4675	1683	280	1835
DPF1	8129	7681	8928	2809	386	2949
PPP1R14A	25	33	64	1757	402	645
SPINT2	3998	2657	4945	5495	1060	4365
YIF1B	2329	1861	2179	2164	533	1534
C19orf33	0	0	0	0	0	0
KCNK6	40	28	42	51	14	74
CATSPERG	842	1434	976	109	42	73
PSMD8	4887	5827	6253	4614	1052	4407
GGN	51	133	131	135	39	144
SPRED3	98	262	384	115	18	302
FAM98C	816	1061	1074	1429	417	1100
RASGRP4	73	110	64	52	0	16
RYR1	436	838	632	2366	1606	2002
MAP4K1	97	152	112	149	44	79
EIF3K	4711	5793	4787	4395	1463	3313
ACTN4	10756	14446	10681	12323	4083	12044
CAPN12	7	25	19	33	19	54
LGALS7	0	0	0	0	0	0
LGALS7B	0	0	0	0	0	0
LGALS4	40	54	51	8	13	16
ECH1	3432	4297	3552	3640	2090	2443
HNRNPL	19674	20332	17545	8307	1868	6182
RINL	125	268	283	418	120	305
SIRT2	5001	7271	6907	12289	3526	6162
NFKBIB	554	749	465	1091	539	719
LOC643669	311	698	402	73	58	59
SARS2	971	868	641	1056	196	981
MRPS12	580	658	611	675	288	564
FBXO17	824	758	647	551	266	427
FBXO27	282	1152	1369	1301	252	1299
PAPL	0	2	0	105	18	34
PAK4	2268	2412	1220	1315	543	1008
NCCRP1	14	16	5	0	0	0
SYCN	0	0	0	2	0	0
IL28B	2	6	4	1	0	2
IL28A	4	3	7	0	0	0
IL29	2	5	12	4	0	2
LRFN1	2840	2622	2867	1751	249	1695
GMFG	109	103	95	183	117	99
SAMD4B	6605	7675	5461	6474	1690	4700
PAF1	6166	6917	6875	4131	1048	2752
MED29	3844	3882	4518	6135	2812	4558
ZFP36	770	477	374	308	933	398
MIR4530	0	0	0	1	0	0
PLEKHG2	12108	13003	8338	305	522	276
RPS16	20625	25996	19074	5724	3936	3791
SUPT5H	17835	21338	20458	10012	2280	8647
TIMM50	3308	3396	3494	2430	505	2158
DLL3	1279	1869	1182	308	187	203
SELV	8	2	7	4	4	4
EID2B	1074	1147	1386	738	144	751
EID2	1659	2082	3131	2351	224	1832
LGALS13	0	0	0	0	0	0
LOC100129935	0	0	0	0	0	0
LGALS16	0	0	0	0	0	0
LGALS17A	0	0	0	0	0	0
LGALS14	0	4	2	0	0	0
CLC	0	0	0	0	0	8
LEUTX	0	0	0	0	0	0
DYRK1B	2798	2820	2387	2070	371	1734
FBL	10585	11556	9227	1610	789	1101
FCGBP	817	1128	249	107	38	99
PSMC4	5023	5721	5669	3776	795	3278
ZNF546	1184	1481	1497	361	95	409
ZNF780B	6690	7932	7040	1796	318	2071
ZNF780A	3348	3969	4116	834	194	1231
MAP3K10	7702	7042	9574	11451	1974	10241
TTC9B	2744	1669	3079	2569	766	2225
CNTD2	60	92	64	41	33	43
AKT2	11104	11478	7837	4315	2145	3243
MIR641	51	75	73	4	4	10
C19orf47	1475	1594	1260	626	235	489
PLD3	13623	12173	13315	32492	3708	30723
HIPK4	12	27	31	861	114	744
PRX	507	397	688	273	214	185
SERTAD1	111	128	103	213	246	176
SERTAD3	305	375	281	278	138	107
BLVRB	413	610	407	801	482	523
SPTBN4	6806	5480	8736	8386	1413	9809
SHKBP1	969	1117	636	737	243	618
LTBP4	5845	3840	3450	2115	679	2221
NUMBL	5892	5698	5921	3831	552	3448
ADCK4	2562	2527	2442	1065	490	749
ITPKC	1219	1312	1468	513	206	528
C19orf54	644	640	424	435	185	149
SNRPA	4265	4007	2788	1156	327	682
MIA	11	7	9	0	0	0
MIA-RAB4B	0	0	0	0	0	0
RAB4B	0	0	0	0	0	0
RAB4B-EGLN2	0	0	0	0	0	0
EGLN2	23	37	9	15	4	20
CYP2A6	20	63	37	34	2	38
CYP2A7	10	10	31	17	8	10
CYP2G1P	30	33	32	10	0	26
CYP2B7P1	36	21	24	120	12	114
CYP2B6	0	0	0	0	0	2
CYP2A13	0	0	0	1	0	2
CYP2F1	2	0	1	2	0	1
CYP2S1	10	27	23	81	10	60
AXL	1002	1928	667	2958	2556	875
HNRNPUL1	32012	33304	27992	7029	2675	5637
CCDC97	3987	4012	3402	1276	443	979
TGFB1	648	675	368	539	387	271
B9D2	329	254	252	131	46	111
TMEM91	888	816	407	347	162	270
EXOSC5	1411	1176	1315	921	183	672
BCKDHA	2651	2471	1801	2701	763	1644
B3GNT8	66	94	26	10	12	7
ATP5SL	2342	2431	2620	2120	469	1540
C19orf69	2	8	6	7	0	7
LOC100505495	81	195	189	60	140	52
CEACAM21	6	22	17	10	0	18
CEACAM4	0	0	0	4	8	0
CEACAM7	0	0	0	2	0	4
CEACAM5	0	1	0	0	0	0
CEACAM6	0	0	0	0	0	0
CEACAM3	0	0	0	2	0	2
LYPD4	2	0	0	0	0	0
DMRTC2	0	0	0	0	0	0
RPS19	29312	31431	28351	4330	4755	2937
CD79A	9	16	22	6	16	2
ARHGEF1	3834	5020	1895	2473	947	1292
RABAC1	4757	4174	4219	3648	1627	2363
ATP1A3	46197	42650	71402	73719	1905	75282
GRIK5	13132	10580	10840	4321	999	4234
ZNF574	2481	2651	2450	997	186	751
POU2F2	3709	3594	4308	350	71	391
LOC100505622	0	3	8	2	0	2
MIR4323	0	0	1	0	0	0
DEDD2	1526	1669	1504	1739	267	1382
ZNF526	1136	1341	984	447	80	372
GSK3A	9421	10484	12471	9746	1236	8434
ERF	1849	1376	1266	2180	660	1590
CIC	22223	17501	18352	7199	1737	6080
PAFAH1B3	8246	7240	7025	471	201	323
PRR19	310	327	468	70	14	64
TMEM145	8831	5871	7018	2661	707	2021
MEGF8	21878	23177	26420	13373	3631	17389
CNFN	10	9	4	30	16	18
LIPE	865	992	690	1919	184	759
CXCL17	1	8	4	0	0	2
CEACAM1	27	33	27	10	10	11
CEACAM8	0	4	2	0	0	4
PSG3	2	2	3	2	0	0
PSG8	0	0	0	0	0	0
LOC100289650	4	7	15	83	53	44
PSG10P	0	0	5	13	4	10
PSG1	4	8	4	2	4	0
PSG6	0	0	2	0	0	0
PSG7	0	0	0	0	0	0
PSG11	0	0	0	0	2	0
PSG2	0	4	1	1	0	0
PSG5	0	0	2	8	1	2
PSG4	0	0	0	0	0	0
LOC284344	0	0	0	0	0	0
PSG9	0	2	0	0	0	0
PRG1	0	0	0	0	2	0
CD177	0	14	2	22	2	2
TEX101	14	14	10	16	0	3
LYPD3	72	44	61	35	20	12
PHLDB3	297	372	222	170	143	181
ETHE1	495	628	471	319	181	237
ZNF575	390	236	339	479	102	301
XRCC1	3995	3874	2782	1678	367	1347
LOC390940	541	517	420	116	112	73
IRGQ	15286	19657	21510	4583	883	5403
ZNF576	604	806	775	1023	252	843
ZNF428	6960	6661	5489	1712	802	1177
SRRM5	196	304	134	76	6	64
CADM4	24961	22995	23070	12373	4865	7096
PLAUR	605	315	299	84	59	77
IRGC	17	2	4	5	0	9
SMG9	3364	3656	2703	2031	580	1534
KCNN4	29	6	17	90	28	61
LYPD5	319	407	514	920	106	962
ZNF283	686	932	1009	131	35	161
ZNF404	671	1254	652	589	182	354
LOC100505715	564	854	471	177	31	214
ZNF45	2400	3112	3009	446	100	368
ZNF221	1013	1784	1497	51	10	137
ZNF155	746	1138	892	425	106	385
ZNF230	646	984	848	232	54	279
ZNF222	641	871	744	295	66	243
ZNF223	1161	1557	1421	483	82	429
ZNF284	895	1205	1050	121	14	185
ZNF224	449	588	462	102	23	129
LOC100379224	505	593	789	166	13	99
ZNF225	774	954	1054	280	45	263
ZNF234	2373	3422	2856	349	114	412
ZNF226	1752	2778	2105	1020	303	676
ZNF227	2210	3427	2622	840	253	635
ZNF233	1215	1622	1346	420	32	466
ZNF235	1046	1529	1256	232	74	269
ZFP112	1911	2393	2429	491	116	394
ZNF285	2391	3131	3270	329	101	348
ZNF229	2204	3360	2173	307	134	284
ZNF180	1595	2176	1946	399	58	408
CEACAM20	0	0	0	0	0	0
CEACAM22P	2	0	0	0	0	2
IGSF23	0	0	0	0	0	0
PVR	4213	4942	5643	2150	361	2834
MIR4531	0	0	0	0	0	0
CEACAM19	1129	1042	1152	290	101	218
CEACAM16	0	0	0	1	0	0
BCL3	35	298	287	165	127	130
CBLC	0	4	0	2	2	2
BCAM	748	1388	1017	1418	1859	837
PVRL2	1797	1881	2119	837	636	506
TOMM40	2733	2829	2705	2458	479	2003
APOE	646	1469	1751	23967	29372	5681
APOC1	73	145	128	99	312	109
APOC1P1	2	0	3	0	4	7
APOC4-APOC2	5	1	5	0	0	2
APOC4	0	0	0	0	0	0
APOC2	0	0	0	0	0	0
